日期,代码,名称,换手率,成交额,流通市值,首次封板时间,最后封板时间,涨跌幅,炸板次数,是否炸板,封板资金,所属行业,涨停原因类别
20250923,000559,万向钱潮,9.528227806091309,3307179600,36526277238.28,104115,111721,9.980039596557617,2,是,,汽车零部,
20250923,688373,盟科药业-U,20.43461036682129,1009890048,5102522523.26,104347,143320,20.024721145629883,4,是,,生物制品,
20250923,605358,立昂微,6.958351135253906,1330477056,20167832477.12,104556,104556,9.996337890625,0,否,,半导体,
20250923,600735,新华锦,10.3977689743042,258214294,2650564882.21,104628,104628,10.070671081542969,0,否,,纺织服装,
20250923,605055,迎丰股份,6.229157447814941,251888401,4202000000.0000005,105237,105237,10.023041725158691,0,否,,纺织服装,
20250923,605060,联德股份,4.573890686035156,307122736,6859277920.0,130431,142443,9.992283821105957,1,是,,通用设备,
20250923,002703,浙江世宝,14.3325777053833,1148161360,8392208419.68,130851,130851,9.984639167785645,0,否,,汽车零部,
20250923,603985,恒润股份,11.215389251708984,846778272,7873723933.58,132608,132608,9.975369453430176,0,否,,风电设备,
20250923,002998,优彩资源,9.756175994873047,199649926,2161788536.4,132636,132636,10.037175178527832,0,否,,化纤行业,
20250923,603159,上海亚虹,4.086886405944824,145193111,3789800000.0,133119,133119,9.995936393737793,0,否,,专用设备,
20250923,002130,沃尔核材,23.195663452148438,8042195712,35880443393.85,133333,141342,10.0,1,是,,非金属材,
20250923,000014,沙河股份,12.997115135192871,618769104,5099913939.68,140021,145000,10.02610969543457,3,是,,房地产开,
20250923,603903,中持股份,7.9622602462768555,223333807,2994897500.4,144214,145647,10.03752326965332,1,是,,环保行业,
20250923,600895,张江高科,11.760088920593262,7782295552,71487509628.0,144813,144813,10.009532928466797,0,否,,房地产开,
20250923,301629,矽电股份,45.38325881958008,942434192,2356003736.15,145009,145009,19.998937606811523,0,否,,半导体,
20250923,301421,波长光电,50.26720428466797,2655739824,6001579656.0,145100,145100,20.0,0,否,,光学光电,
20250924,001208,华菱线缆,6.779770851135254,261616243,3858776993.55,092500,092500,9.9849853515625,0,否,,电网设备,
20250924,603087,甘李药业,6.154260635375977,2695632880,44260499737.200005,092503,100936,9.995840072631836,1,是,,生物制品,
20250924,000826,启迪环境,5.691963195800781,201900889,3548680667.9100003,093000,093000,10.176990509033203,0,否,,环保行业,
20250924,000685,中山公用,5.5570759773254395,823034368,14972308202.34,093003,093806,10.046082496643066,3,是,,公用事业,
20250924,002418,康盛股份,6.466259479522705,367711536,5716078610.14,093021,093021,10.065646171569824,0,否,,家电行业,
20250924,002207,准油股份,10.27901840209961,215670118,2117793033.9999998,093121,093121,10.027100563049316,0,否,,采掘行业,
20250924,002562,兄弟科技,15.746142387390137,822412144,5268481160.33,093200,093703,9.956075668334961,2,是,,化学制品,
20250924,000006,深振业Ａ,5.151737689971924,634710336,12514383160.92,093251,094248,9.964412689208984,6,是,,房地产开,
